Name,Warehouse,"Customer Account ID","Hide Customer's Orders From App","Use Customer's Shipping Accounts","Use 3PL's Shipping Accounts For Returns","Has appdot access"
"Demo Test",Primary,92441,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='37707'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='37707'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='37707'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='37707'/>"
Crosskix,Primary,92639,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='37922'/>","<input type='checkbox' class='styled dt_checkbox' checked name='use_customers_shipping_account[]' value='37922'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='37922'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='37922'/>"
"Antonia Saint NY",Primary,92640,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='37923'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='37923'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='37923'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='37923'/>"
"Spirit Nest",Primary,92641,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='37924'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='37924'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='37924'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='37924'/>"
"Adgo Media",Primary,93777,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39146'/>","<input type='checkbox' class='styled dt_checkbox' checked name='use_customers_shipping_account[]' value='39146'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39146'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39146'/>"
"Herbal Synergies",Primary,93808,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39178'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39178'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39178'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39178'/>"
"Esas Beauty",Primary,93811,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='39182'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39182'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39182'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39182'/>"
"Kandy Girl",Primary,93812,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39183'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39183'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39183'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39183'/>"
"Phoenix Water Filters",Primary,93814,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39186'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39186'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39186'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39186'/>"
"The Style Scout",Primary,93815,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39188'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39188'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39188'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39188'/>"
